all4_GL...1. all4_GL...2.
249 1999.708 -0.0217
250 1999.792 -0.0464
251 1999.875 -0.0537
252 1999.958  0.0561
253 2000.042 -0.1324
254 2000.125  0.1228
255 2000.208  0.1038
256 2000.292  0.1641
257 2000.375 -0.0269
258 2000.458 -0.0097
259 2000.542 -0.0219
260 2000.625  0.0313
261 2000.708  0.0096
262 2000.792 -0.1242
263 2000.875 -0.1222
264 2000.958 -0.1197
265 2001.042  0.0243
266 2001.125  0.0003
267 2001.208  0.1701
268 2001.292  0.1191
269 2001.375  0.1416
270 2001.458  0.1106
271 2001.542  0.1588
272 2001.625  0.1473
273 2001.708  0.1221
274 2001.792  0.0968
275 2001.875  0.3046
276 2001.958  0.1286
277 2002.042  0.3101
278 2002.125  0.3268
279 2002.208  0.4148
280 2002.292  0.1538
281 2002.375  0.1688
282 2002.458  0.1531
283 2002.542  0.2088
284 2002.625  0.1311
285 2002.708  0.1556
286 2002.792  0.1151
287 2002.875  0.1561
288 2002.958  0.0276
289 2003.042  0.2928
290 2003.125  0.1293
291 2003.208  0.1441
292 2003.292  0.1308
293 2003.375  0.1773
294 2003.458  0.1046
295 2003.542  0.1381
296 2003.625  0.2423
297 2003.708  0.2398
298 2003.792  0.3111
299 2003.875  0.1411
300 2003.958  0.3073
301 2004.042  0.1781
302 2004.125  0.2848
303 2004.208  0.2151
304 2004.292  0.1773
305 2004.375  0.0051
306 2004.458  0.0126
307 2004.542 -0.0367
308 2004.625  0.0776
309 2004.708  0.1101
310 2004.792  0.1893
311 2004.875  0.3023
312 2004.958  0.0691
313 2005.042  0.2528
314 2005.125  0.1163
315 2005.208  0.2778
316 2005.292  0.2906
317 2005.375  0.2223
318 2005.458  0.2393
319 2005.542  0.2218
320 2005.625  0.2186
321 2005.708  0.2996
322 2005.792  0.3213
323 2005.875  0.3093
324 2005.958  0.2191
325 2006.042  0.0986
326 2006.125  0.2518
327 2006.208  0.1711
328 2006.292  0.0983
329 2006.375  0.0983
330 2006.458  0.2121
331 2006.542  0.1421
332 2006.625  0.2488
333 2006.708  0.1983
334 2006.792  0.2598
335 2006.875  0.2596
336 2006.958  0.3556
337 2007.042  0.5061
338 2007.125  0.2621
339 2007.208  0.2313
340 2007.292  0.3138
341 2007.375  0.1998
342 2007.458  0.1461
343 2007.542  0.1681
344 2007.625  0.1631
345 2007.708  0.1623
346 2007.792  0.1693
347 2007.875  0.1318
348 2007.958  0.0591
349 2008.042 -0.1674
350 2008.125 -0.0784
351 2008.208  0.2781
