all4_GL...1. all4_GL...7.
248 1999.625 -0.1007
249 1999.708 -0.0538
250 1999.792 -0.0536
251 1999.875 -0.0274
252 1999.958  0.0777
253 2000.042 -0.1163
254 2000.125  0.1708
255 2000.208  0.1552
256 2000.292  0.2036
257 2000.375 -0.0001
258 2000.458  0.0185
259 2000.542 -0.0431
260 2000.625 -0.0531
261 2000.708 -0.0752
262 2000.792 -0.1715
263 2000.875 -0.1631
264 2000.958 -0.1487
265 2001.042  0.0024
266 2001.125  0.0114
267 2001.208  0.1689
268 2001.292  0.1217
269 2001.375  0.1413
270 2001.458  0.1034
271 2001.542  0.1167
272 2001.625  0.0550
273 2001.708  0.0763
274 2001.792  0.0184
275 2001.875  0.1945
276 2001.958  0.0756
277 2002.042  0.2723
278 2002.125  0.2662
279 2002.208  0.3502
280 2002.292  0.0964
281 2002.375  0.1346
282 2002.458  0.1005
283 2002.542  0.1116
284 2002.625  0.0151
285 2002.708  0.0236
286 2002.792 -0.0030
287 2002.875  0.0079
288 2002.958 -0.0989
289 2003.042  0.1596
290 2003.125 -0.0064
291 2003.208  0.0044
292 2003.292  0.0066
293 2003.375  0.0677
294 2003.458  0.0064
295 2003.542  0.0781
296 2003.625  0.1882
297 2003.708  0.1892
298 2003.792  0.2611
299 2003.875  0.0897
300 2003.958  0.2356
301 2004.042  0.1101
302 2004.125  0.2165
303 2004.208  0.1694
304 2004.292  0.1295
305 2004.375 -0.0454
306 2004.458  0.0004
307 2004.542 -0.0897
308 2004.625  0.0113
309 2004.708  0.0570
310 2004.792  0.1208
311 2004.875  0.2358
312 2004.958 -0.0025
313 2005.042  0.1883
314 2005.125  0.0421
315 2005.208  0.2078
316 2005.292  0.2525
317 2005.375  0.1449
318 2005.458  0.1429
319 2005.542  0.1528
320 2005.625  0.1301
321 2005.708  0.2325
322 2005.792  0.2646
323 2005.875  0.2720
324 2005.958  0.1930
325 2006.042  0.1074
326 2006.125  0.2697
327 2006.208  0.2173
328 2006.292  0.1407
329 2006.375  0.1354
330 2006.458  0.2459
331 2006.542  0.1826
332 2006.625  0.2425
333 2006.708  0.1510
334 2006.792  0.1987
335 2006.875  0.1931
336 2006.958  0.2865
337 2007.042  0.4202
338 2007.125  0.1544
339 2007.208  0.1487
340 2007.292  0.2334
341 2007.375  0.1634
342 2007.458  0.1442
343 2007.542  0.1694
344 2007.625  0.1360
345 2007.708  0.1762
346 2007.792  0.1943
347 2007.875  0.1738
348 2007.958  0.1641
349 2008.042 -0.0604
350 2008.125  0.0188
351 2008.208  0.3824
352 2008.292  0.1568
353 2008.375  0.1836
354 2008.458  0.1944
355 2008.542  0.2494
356 2008.625  0.1212
357 2008.708  0.1467
358 2008.792  0.2313
359 2008.875  0.2696
360 2008.958  0.1681
361 2009.042  0.2473
362 2009.125  0.1622
363 2009.208  0.1568
364 2009.292  0.2582
365 2009.375  0.2521
366 2009.458  0.3269
367 2009.542  0.2935
368 2009.625  0.2428
369 2009.708  0.2319
370 2009.792  0.1517
371 2009.875  0.2101
372 2009.958  0.1787
373 2010.042  0.2266
374 2010.125  0.2468
375 2010.208  0.3549
376 2010.292  0.3345
377 2010.375  0.1995
378 2010.458  0.1526
379 2010.542  0.1771
380 2010.625  0.1711
381 2010.708  0.1886
382 2010.792  0.3275
383 2010.875  0.4766
384 2010.958  0.2181
385 2011.042  0.2101
386 2011.125  0.1691
387 2011.208  0.2910
388 2011.292  0.3385
389 2011.375  0.2096
390 2011.458  0.3043
391 2011.542  0.3558
392 2011.625  0.2551
393 2011.708  0.1442
394 2011.792  0.1974
395 2011.875  0.1122
396 2011.958  0.1509
397 2012.042  0.0431
398 2012.125  0.0718
399 2012.208  0.1359
400 2012.292  0.3457
401 2012.375  0.3361
402 2012.458  0.2617
403 2012.542  0.1431
404 2012.625  0.1381
405 2012.708  0.1769
406 2012.792  0.1905
407 2012.875  0.2322
408 2012.958  0.0051
409 2013.042  0.1670
410 2013.125  0.1263
411 2013.208  0.1401
412 2013.292  0.1139
413 2013.375  0.1953
414 2013.458  0.2116
415 2013.542  0.1543
416 2013.625  0.1979
417 2013.708  0.2863
418 2013.792  0.2394
419 2013.875  0.4041
420 2013.958  0.2179
421 2014.042  0.2184
422 2014.125  0.0150
423 2014.208  0.2855
424 2014.292  0.3293
425 2014.375  0.3475
426 2014.458  0.2482
427 2014.542  0.1525
428 2014.625  0.2572
429 2014.708  0.2630
430 2014.792  0.2562
431 2014.875  0.1171
432 2014.958  0.2887
433 2015.042  0.3107
434 2015.125  0.3066
435 2015.208  0.3586
436 2015.292  0.2879
437 2015.375  0.3252
438 2015.458  0.3360
439 2015.542  0.2563
440 2015.625  0.2656
441 2015.708  0.2738
442 2015.792  0.4255
443 2015.875  0.3651
444 2015.958  0.4798
445 2016.042  0.4795
446 2016.125  0.6270
447 2016.208  0.6371
448 2016.292  0.4537
449 2016.375  0.2726
450 2016.458  0.2550
451 2016.542  0.2360
452 2016.625  0.3845
453 2016.708  0.3559
454 2016.792  0.3522
455 2016.875  0.3629
456 2016.958  0.3885
457 2017.042  0.5231
458 2017.125  0.6091
459 2017.208  0.6346
460 2017.292  0.4680
461 2017.375  0.4166
462 2017.458  0.3089
463 2017.542  0.3044
464 2017.625  0.2803
465 2017.708  0.2026
466 2017.792  0.2979
467 2017.875  0.3370
468 2017.958  0.4179
