Global Stacks,,,,,,,,,,,,,,,,Regional Stacks,,,,,,,,Other Stacks,,,,,,
,Standard5x5Grid,,Standard10-lat,,Standard,,RegEM,,RegEM5x5grid,,Jack30,,Jack50,,,,Standard5x5Grid,,Standard5x5Grid,,Standard5x5Grid,,,,Standard5x5Grid Mg/Ca,,Standard5x5Grid Uk'37,,Standard5x5Grid Other,
Age (yrs BP),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),,Age (yrs BP),90-30N (°C),1σ uncertainty (°C),30S-30N (°C),1σ uncertainty (°C),90-30S (°C),1σ uncertainty (°C),,Age (yrs BP),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C)
-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN
-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN
-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN
1730,-0.13,0.13,-0.07,0.13,-0.10,0.11,-0.09,0.11,-0.09,0.13,-0.12,0.13,-0.12,0.19,,1730,0.02,0.28,-0.20,0.29,-0.43,0.24,,1730,-0.14,0.25,-0.02,0.18,-0.27,0.28
1750,-0.13,0.13,-0.08,0.13,-0.10,0.11,-0.09,0.11,-0.10,0.13,-0.13,0.13,-0.13,0.19,,1750,0.03,0.27,-0.21,0.29,-0.45,0.24,,1750,-0.14,0.25,-0.02,0.18,-0.29,0.28
1770,-0.14,0.13,-0.08,0.13,-0.10,0.11,-0.10,0.11,-0.10,0.13,-0.14,0.13,-0.13,0.19,,1770,0.04,0.27,-0.23,0.29,-0.47,0.24,,1770,-0.13,0.25,-0.03,0.18,-0.30,0.28
1790,-0.14,0.13,-0.08,0.13,-0.10,0.11,-0.10,0.11,-0.11,0.13,-0.14,0.13,-0.14,0.18,,1790,0.05,0.27,-0.24,0.29,-0.48,0.24,,1790,-0.12,0.25,-0.03,0.19,-0.31,0.28
1810,-0.14,0.13,-0.08,0.13,-0.10,0.11,-0.10,0.11,-0.11,0.13,-0.14,0.13,-0.14,0.18,,1810,0.07,0.27,-0.24,0.29,-0.50,0.24,,1810,-0.12,0.25,-0.03,0.19,-0.32,0.27
1830,-0.14,0.13,-0.07,0.13,-0.10,0.11,-0.09,0.11,-0.11,0.13,-0.14,0.13,-0.14,0.18,,1830,0.07,0.27,-0.25,0.29,-0.48,0.26,,1830,-0.10,0.25,-0.03,0.19,-0.32,0.27
1850,-0.13,0.13,-0.07,0.13,-0.09,0.11,-0.08,0.11,-0.10,0.13,-0.13,0.13,-0.13,0.18,,1850,0.08,0.27,-0.25,0.29,-0.44,0.27,,1850,-0.09,0.25,-0.04,0.19,-0.32,0.27
1870,-0.13,0.13,-0.06,0.13,-0.08,0.11,-0.08,0.11,-0.10,0.13,-0.13,0.13,-0.13,0.18,,1870,0.09,0.27,-0.25,0.28,-0.40,0.28,,1870,-0.08,0.24,-0.03,0.19,-0.32,0.27
1890,-0.12,0.13,-0.05,0.13,-0.08,0.11,-0.08,0.12,-0.10,0.13,-0.12,0.13,-0.12,0.18,,1890,0.09,0.27,-0.25,0.29,-0.36,0.27,,1890,-0.07,0.24,-0.03,0.19,-0.32,0.27
1910,-0.12,0.13,-0.04,0.13,-0.07,0.11,-0.08,0.12,-0.10,0.13,-0.12,0.13,-0.12,0.18,,1910,0.08,0.27,-0.24,0.29,-0.35,0.26,,1910,-0.06,0.25,-0.03,0.19,-0.33,0.27
1930,-0.12,0.13,-0.03,0.13,-0.07,0.11,-0.08,0.11,-0.10,0.13,-0.12,0.13,-0.12,0.18,,1930,0.09,0.27,-0.24,0.29,-0.37,0.24,,1930,-0.05,0.25,-0.02,0.19,-0.34,0.27
1950,-0.11,0.13,-0.03,0.13,-0.07,0.11,-0.07,0.11,-0.09,0.13,-0.11,0.13,-0.11,0.18,,1950,0.10,0.27,-0.23,0.29,-0.40,0.24,,1950,-0.03,0.24,-0.01,0.19,-0.35,0.27
1970,-0.11,0.13,-0.02,0.13,-0.06,0.11,-0.07,0.11,-0.09,0.13,-0.11,0.13,-0.11,0.18,,1970,0.11,0.27,-0.23,0.29,-0.44,0.23,,1970,-0.02,0.24,0.00,0.19,-0.36,0.27
1990,-0.10,0.13,-0.01,0.13,-0.06,0.11,-0.06,0.11,-0.08,0.13,-0.10,0.13,-0.10,0.18,,1990,0.13,0.27,-0.23,0.30,-0.46,0.23,,1990,-0.01,0.24,0.01,0.19,-0.37,0.27
2010,-0.09,0.13,0.01,0.13,-0.05,0.11,-0.06,0.11,-0.08,0.13,-0.09,0.13,-0.09,0.18,,2010,0.14,0.27,-0.22,0.29,-0.47,0.23,,2010,0.00,0.25,0.02,0.19,-0.37,0.27
2030,-0.09,0.13,0.02,0.13,-0.04,0.11,-0.05,0.11,-0.07,0.13,-0.08,0.13,-0.08,0.18,,2030,0.16,0.27,-0.22,0.29,-0.46,0.25,,2030,0.00,0.25,0.03,0.19,-0.37,0.27
2050,-0.08,0.13,0.03,0.13,-0.03,0.12,-0.04,0.12,-0.06,0.13,-0.08,0.13,-0.08,0.18,,2050,0.17,0.27,-0.22,0.30,-0.45,0.26,,2050,0.00,0.25,0.05,0.19,-0.37,0.27
2070,-0.07,0.13,0.04,0.13,-0.02,0.12,-0.03,0.11,-0.05,0.13,-0.07,0.13,-0.07,0.19,,2070,0.18,0.27,-0.22,0.30,-0.43,0.24,,2070,0.01,0.25,0.06,0.19,-0.36,0.27
2090,-0.07,0.13,0.04,0.13,-0.02,0.12,-0.02,0.12,-0.05,0.14,-0.07,0.13,-0.06,0.19,,2090,0.19,0.27,-0.22,0.30,-0.43,0.24,,2090,0.01,0.25,0.07,0.19,-0.36,0.27
2110,-0.07,0.13,0.05,0.13,-0.02,0.12,-0.02,0.12,-0.05,0.14,-0.06,0.13,-0.06,0.19,,2110,0.20,0.27,-0.22,0.30,-0.43,0.23,,2110,0.00,0.25,0.08,0.19,-0.36,0.27
2130,-0.07,0.13,0.05,0.13,-0.02,0.12,-0.02,0.12,-0.05,0.13,-0.06,0.13,-0.06,0.18,,2130,0.20,0.27,-0.23,0.30,-0.45,0.22,,2130,-0.01,0.25,0.09,0.19,-0.37,0.27
2150,-0.07,0.13,0.05,0.13,-0.02,0.12,-0.03,0.12,-0.05,0.13,-0.06,0.13,-0.06,0.18,,2150,0.21,0.27,-0.23,0.29,-0.46,0.23,,2150,-0.02,0.24,0.10,0.19,-0.37,0.27
2170,-0.07,0.13,0.05,0.13,-0.02,0.12,-0.03,0.12,-0.05,0.13,-0.07,0.13,-0.07,0.18,,2170,0.20,0.27,-0.23,0.29,-0.46,0.24,,2170,-0.03,0.24,0.11,0.19,-0.37,0.26
2190,-0.07,0.13,0.05,0.13,-0.02,0.12,-0.03,0.12,-0.05,0.13,-0.07,0.13,-0.07,0.18,,2190,0.20,0.27,-0.24,0.29,-0.45,0.25,,2190,-0.04,0.24,0.11,0.19,-0.37,0.26
2210,-0.07,0.13,0.05,0.13,-0.02,0.12,-0.03,0.12,-0.05,0.13,-0.07,0.13,-0.07,0.18,,2210,0.19,0.27,-0.24,0.29,-0.43,0.27,,2210,-0.06,0.24,0.12,0.19,-0.37,0.26
2230,-0.07,0.13,0.05,0.14,-0.02,0.12,-0.03,0.12,-0.05,0.13,-0.07,0.13,-0.07,0.18,,2230,0.17,0.27,-0.25,0.29,-0.42,0.28,,2230,-0.08,0.24,0.14,0.19,-0.37,0.27
2250,-0.07,0.13,0.05,0.14,-0.03,0.12,-0.03,0.12,-0.04,0.13,-0.07,0.13,-0.07,0.18,,2250,0.16,0.27,-0.25,0.29,-0.41,0.30,,2250,-0.09,0.24,0.15,0.19,-0.37,0.27
2270,-0.07,0.13,0.05,0.14,-0.03,0.12,-0.03,0.12,-0.04,0.13,-0.06,0.13,-0.06,0.18,,2270,0.16,0.28,-0.25,0.29,-0.42,0.31,,2270,-0.09,0.24,0.16,0.19,-0.37,0.27
2290,-0.06,0.13,0.05,0.14,-0.03,0.12,-0.04,0.12,-0.04,0.13,-0.06,0.13,-0.06,0.18,,2290,0.16,0.28,-0.24,0.29,-0.46,0.31,,2290,-0.09,0.25,0.17,0.18,-0.37,0.27
2310,-0.06,0.13,0.04,0.14,-0.04,0.12,-0.04,0.12,-0.03,0.13,-0.06,0.13,-0.06,0.18,,2310,0.17,0.28,-0.24,0.29,-0.50,0.30,,2310,-0.09,0.25,0.17,0.18,-0.37,0.27
2330,-0.05,0.13,0.04,0.14,-0.04,0.12,-0.04,0.12,-0.03,0.13,-0.05,0.13,-0.05,0.18,,2330,0.18,0.27,-0.23,0.29,-0.54,0.30,,2330,-0.08,0.25,0.18,0.18,-0.38,0.27
2350,-0.04,0.13,0.04,0.14,-0.03,0.12,-0.04,0.12,-0.02,0.13,-0.04,0.13,-0.04,0.18,,2350,0.19,0.27,-0.22,0.29,-0.58,0.29,,2350,-0.06,0.25,0.19,0.18,-0.38,0.27
2370,-0.03,0.13,0.05,0.14,-0.03,0.12,-0.03,0.12,-0.01,0.13,-0.03,0.13,-0.03,0.18,,2370,0.20,0.27,-0.21,0.29,-0.59,0.28,,2370,-0.05,0.24,0.20,0.18,-0.37,0.27
2390,-0.02,0.13,0.05,0.14,-0.02,0.12,-0.03,0.12,0.00,0.13,-0.02,0.13,-0.02,0.18,,2390,0.21,0.27,-0.20,0.29,-0.57,0.28,,2390,-0.04,0.24,0.20,0.18,-0.36,0.27
2410,-0.01,0.13,0.06,0.13,-0.01,0.12,-0.02,0.12,0.01,0.13,-0.01,0.13,-0.01,0.18,,2410,0.22,0.27,-0.19,0.29,-0.53,0.28,,2410,-0.04,0.24,0.21,0.18,-0.34,0.27
2430,0.00,0.13,0.07,0.13,0.00,0.11,-0.01,0.11,0.02,0.12,0.00,0.13,0.00,0.18,,2430,0.22,0.27,-0.19,0.28,-0.49,0.27,,2430,-0.04,0.24,0.22,0.18,-0.33,0.27
2450,0.01,0.13,0.08,0.13,0.01,0.11,0.00,0.11,0.03,0.12,0.01,0.13,0.01,0.18,,2450,0.23,0.27,-0.18,0.28,-0.44,0.27,,2450,-0.04,0.24,0.23,0.18,-0.32,0.28
2470,0.01,0.13,0.08,0.13,0.02,0.11,0.01,0.11,0.03,0.12,0.02,0.13,0.02,0.18,,2470,0.24,0.27,-0.18,0.29,-0.40,0.27,,2470,-0.04,0.24,0.24,0.18,-0.31,0.28
2490,0.02,0.13,0.09,0.13,0.03,0.11,0.02,0.11,0.04,0.12,0.02,0.13,0.03,0.18,,2490,0.25,0.27,-0.18,0.29,-0.35,0.26,,2490,-0.04,0.25,0.25,0.18,-0.30,0.27
2510,0.03,0.13,0.10,0.13,0.03,0.12,0.02,0.12,0.04,0.13,0.03,0.13,0.03,0.18,,2510,0.26,0.28,-0.18,0.29,-0.32,0.25,,2510,-0.04,0.24,0.26,0.19,-0.30,0.27
2530,0.03,0.13,0.10,0.13,0.04,0.12,0.03,0.12,0.05,0.12,0.03,0.13,0.04,0.18,,2530,0.26,0.28,-0.17,0.29,-0.30,0.25,,2530,-0.04,0.24,0.27,0.19,-0.30,0.27
2550,0.04,0.13,0.10,0.13,0.04,0.12,0.03,0.12,0.05,0.12,0.04,0.13,0.04,0.18,,2550,0.26,0.28,-0.17,0.29,-0.30,0.25,,2550,-0.03,0.24,0.28,0.19,-0.31,0.28
2570,0.04,0.13,0.11,0.13,0.04,0.11,0.03,0.12,0.05,0.13,0.04,0.13,0.04,0.18,,2570,0.26,0.28,-0.17,0.28,-0.30,0.24,,2570,-0.03,0.24,0.28,0.19,-0.32,0.28
2590,0.04,0.13,0.11,0.13,0.04,0.11,0.03,0.12,0.05,0.13,0.04,0.13,0.04,0.18,,2590,0.26,0.28,-0.17,0.29,-0.30,0.25,,2590,-0.04,0.24,0.29,0.19,-0.33,0.28
2610,0.03,0.13,0.11,0.13,0.03,0.11,0.03,0.11,0.05,0.12,0.03,0.13,0.04,0.18,,2610,0.25,0.28,-0.17,0.28,-0.30,0.25,,2610,-0.04,0.24,0.29,0.19,-0.34,0.28
2630,0.03,0.13,0.11,0.13,0.03,0.11,0.03,0.11,0.05,0.13,0.03,0.13,0.04,0.18,,2630,0.24,0.28,-0.17,0.29,-0.31,0.25,,2630,-0.04,0.24,0.29,0.19,-0.35,0.29
2650,0.03,0.13,0.11,0.13,0.03,0.12,0.03,0.11,0.05,0.13,0.03,0.13,0.04,0.18,,2650,0.23,0.29,-0.17,0.29,-0.30,0.26,,2650,-0.04,0.24,0.29,0.19,-0.35,0.29
2670,0.03,0.13,0.12,0.13,0.03,0.12,0.03,0.11,0.05,0.13,0.03,0.13,0.04,0.18,,2670,0.23,0.29,-0.17,0.28,-0.30,0.27,,2670,-0.03,0.24,0.28,0.19,-0.35,0.28
2690,0.03,0.13,0.12,0.13,0.04,0.12,0.03,0.11,0.05,0.13,0.04,0.13,0.04,0.18,,2690,0.24,0.29,-0.17,0.28,-0.28,0.28,,2690,-0.02,0.24,0.28,0.19,-0.35,0.28
2710,0.04,0.13,0.13,0.13,0.04,0.12,0.03,0.12,0.05,0.13,0.04,0.13,0.04,0.18,,2710,0.24,0.29,-0.17,0.28,-0.27,0.30,,2710,-0.01,0.24,0.27,0.19,-0.34,0.28
2730,0.04,0.13,0.13,0.13,0.05,0.12,0.04,0.12,0.05,0.13,0.04,0.13,0.04,0.18,,2730,0.24,0.29,-0.17,0.28,-0.24,0.30,,2730,0.00,0.24,0.27,0.19,-0.34,0.28
2750,0.04,0.13,0.14,0.13,0.05,0.12,0.04,0.12,0.05,0.13,0.04,0.13,0.04,0.18,,2750,0.24,0.29,-0.17,0.29,-0.21,0.30,,2750,0.00,0.25,0.26,0.19,-0.34,0.28
2770,0.04,0.13,0.14,0.13,0.05,0.12,0.04,0.12,0.05,0.13,0.04,0.13,0.04,0.18,,2770,0.24,0.29,-0.18,0.29,-0.17,0.31,,2770,0.01,0.25,0.26,0.19,-0.33,0.28
2790,0.04,0.13,0.14,0.13,0.05,0.12,0.04,0.11,0.05,0.13,0.04,0.13,0.04,0.18,,2790,0.24,0.29,-0.18,0.28,-0.13,0.30,,2790,0.01,0.25,0.25,0.18,-0.33,0.28
2810,0.04,0.13,0.14,0.13,0.06,0.12,0.05,0.11,0.05,0.13,0.04,0.13,0.04,0.18,,2810,0.25,0.28,-0.18,0.28,-0.10,0.30,,2810,0.01,0.25,0.25,0.18,-0.32,0.28
2830,0.03,0.13,0.14,0.13,0.06,0.12,0.05,0.12,0.05,0.13,0.04,0.13,0.04,0.18,,2830,0.25,0.28,-0.18,0.28,-0.08,0.29,,2830,0.02,0.25,0.25,0.18,-0.32,0.28
2850,0.04,0.13,0.14,0.13,0.06,0.12,0.05,0.12,0.05,0.13,0.04,0.13,0.04,0.19,,2850,0.26,0.28,-0.18,0.29,-0.08,0.28,,2850,0.03,0.24,0.24,0.18,-0.32,0.28
2870,0.04,0.13,0.14,0.13,0.06,0.12,0.06,0.12,0.05,0.14,0.04,0.13,0.04,0.19,,2870,0.27,0.28,-0.18,0.29,-0.10,0.27,,2870,0.04,0.25,0.24,0.19,-0.33,0.28
2890,0.04,0.13,0.14,0.13,0.07,0.12,0.06,0.12,0.05,0.14,0.04,0.13,0.04,0.19,,2890,0.27,0.28,-0.18,0.29,-0.13,0.26,,2890,0.05,0.24,0.24,0.19,-0.33,0.28
2910,0.03,0.13,0.14,0.13,0.06,0.12,0.05,0.12,0.04,0.14,0.04,0.13,0.04,0.18,,2910,0.27,0.28,-0.18,0.29,-0.16,0.26,,2910,0.05,0.24,0.24,0.19,-0.34,0.28
2930,0.03,0.13,0.14,0.13,0.06,0.11,0.05,0.12,0.04,0.13,0.03,0.13,0.04,0.18,,2930,0.27,0.28,-0.18,0.29,-0.19,0.25,,2930,0.06,0.24,0.24,0.19,-0.35,0.28
2950,0.02,0.13,0.14,0.13,0.06,0.11,0.05,0.11,0.03,0.13,0.03,0.13,0.03,0.18,,2950,0.26,0.28,-0.18,0.29,-0.22,0.24,,2950,0.06,0.24,0.24,0.19,-0.36,0.27
2970,0.02,0.13,0.13,0.13,0.05,0.11,0.04,0.11,0.03,0.13,0.02,0.13,0.02,0.18,,2970,0.24,0.28,-0.18,0.29,-0.24,0.23,,2970,0.05,0.24,0.23,0.19,-0.37,0.27
2990,0.01,0.13,0.13,0.13,0.05,0.11,0.04,0.11,0.02,0.13,0.01,0.13,0.02,0.18,,2990,0.23,0.28,-0.18,0.29,-0.23,0.22,,2990,0.05,0.24,0.23,0.19,-0.38,0.27
3010,0.01,0.13,0.13,0.13,0.04,0.11,0.03,0.11,0.02,0.13,0.01,0.13,0.01,0.18,,3010,0.21,0.28,-0.18,0.29,-0.21,0.23,,3010,0.04,0.24,0.23,0.19,-0.38,0.27
3030,0.00,0.13,0.12,0.13,0.04,0.11,0.03,0.11,0.01,0.13,0.00,0.13,0.00,0.18,,3030,0.19,0.29,-0.19,0.29,-0.19,0.23,,3030,0.03,0.24,0.23,0.19,-0.38,0.26
3050,0.00,0.13,0.12,0.13,0.03,0.11,0.02,0.11,0.01,0.13,0.00,0.13,0.00,0.18,,3050,0.17,0.29,-0.20,0.29,-0.17,0.23,,3050,0.02,0.24,0.23,0.19,-0.38,0.27
3070,-0.01,0.13,0.12,0.13,0.03,0.12,0.02,0.11,0.00,0.13,-0.01,0.13,-0.01,0.19,,3070,0.16,0.29,-0.20,0.29,-0.16,0.24,,3070,0.01,0.25,0.22,0.20,-0.38,0.27
3090,-0.02,0.13,0.12,0.13,0.03,0.12,0.02,0.11,0.00,0.13,-0.01,0.13,-0.01,0.19,,3090,0.15,0.29,-0.21,0.29,-0.15,0.24,,3090,0.00,0.25,0.22,0.20,-0.38,0.27
3110,-0.02,0.13,0.12,0.13,0.02,0.12,0.02,0.11,0.00,0.13,-0.02,0.13,-0.02,0.19,,3110,0.15,0.30,-0.21,0.29,-0.16,0.25,,3110,-0.01,0.25,0.22,0.20,-0.38,0.27
3130,-0.02,0.13,0.11,0.13,0.02,0.12,0.01,0.11,-0.01,0.13,-0.02,0.13,-0.02,0.19,,3130,0.15,0.31,-0.21,0.29,-0.18,0.25,,3130,-0.02,0.25,0.22,0.20,-0.38,0.27
3150,-0.03,0.13,0.11,0.13,0.02,0.12,0.01,0.12,-0.01,0.13,-0.02,0.13,-0.02,0.19,,3150,0.14,0.31,-0.21,0.29,-0.19,0.24,,3150,-0.02,0.25,0.22,0.20,-0.38,0.27
3170,-0.02,0.13,0.11,0.13,0.02,0.12,0.01,0.12,-0.01,0.13,-0.02,0.13,-0.02,0.19,,3170,0.15,0.32,-0.20,0.29,-0.21,0.24,,3170,-0.02,0.25,0.22,0.21,-0.38,0.28
3190,-0.02,0.13,0.11,0.13,0.02,0.12,0.01,0.12,0.00,0.13,-0.02,0.13,-0.02,0.19,,3190,0.16,0.32,-0.20,0.29,-0.23,0.24,,3190,-0.02,0.24,0.22,0.20,-0.38,0.28
3210,-0.02,0.13,0.12,0.13,0.02,0.12,0.01,0.12,0.00,0.13,-0.02,0.13,-0.02,0.19,,3210,0.16,0.31,-0.20,0.29,-0.24,0.24,,3210,-0.02,0.25,0.22,0.20,-0.37,0.28
3230,-0.02,0.13,0.12,0.13,0.02,0.12,0.01,0.12,0.00,0.13,-0.01,0.13,-0.01,0.19,,3230,0.17,0.31,-0.19,0.29,-0.26,0.23,,3230,-0.01,0.25,0.22,0.20,-0.37,0.28
3250,-0.01,0.13,0.12,0.13,0.03,0.12,0.02,0.11,0.01,0.13,-0.01,0.13,-0.01,0.19,,3250,0.17,0.31,-0.18,0.29,-0.26,0.22,,3250,-0.01,0.24,0.22,0.20,-0.35,0.28
3270,0.00,0.13,0.13,0.13,0.03,0.11,0.03,0.11,0.01,0.13,0.00,0.13,0.00,0.19,,3270,0.18,0.31,-0.17,0.28,-0.26,0.22,,3270,0.00,0.24,0.22,0.20,-0.34,0.28
3290,0.00,0.13,0.13,0.13,0.04,0.12,0.03,0.12,0.02,0.13,0.00,0.13,0.01,0.19,,3290,0.18,0.31,-0.16,0.28,-0.25,0.22,,3290,0.01,0.24,0.22,0.20,-0.32,0.28
3310,0.01,0.13,0.14,0.13,0.05,0.12,0.04,0.12,0.02,0.13,0.01,0.13,0.01,0.19,,3310,0.18,0.31,-0.15,0.29,-0.24,0.22,,3310,0.01,0.24,0.22,0.20,-0.31,0.28
3330,0.01,0.13,0.14,0.13,0.05,0.12,0.04,0.12,0.03,0.13,0.01,0.13,0.01,0.19,,3330,0.18,0.31,-0.15,0.29,-0.22,0.22,,3330,0.01,0.24,0.22,0.19,-0.30,0.28
3350,0.01,0.13,0.15,0.13,0.06,0.12,0.04,0.12,0.03,0.13,0.02,0.13,0.02,0.18,,3350,0.19,0.30,-0.14,0.29,-0.21,0.22,,3350,0.01,0.24,0.22,0.19,-0.29,0.29
3370,0.02,0.13,0.16,0.13,0.06,0.12,0.05,0.12,0.03,0.13,0.02,0.13,0.02,0.18,,3370,0.18,0.30,-0.13,0.29,-0.19,0.22,,3370,0.02,0.24,0.22,0.19,-0.28,0.29
3390,0.02,0.13,0.16,0.13,0.06,0.12,0.05,0.12,0.03,0.13,0.02,0.13,0.02,0.18,,3390,0.17,0.29,-0.13,0.29,-0.18,0.22,,3390,0.02,0.25,0.22,0.19,-0.28,0.29
3410,0.02,0.13,0.17,0.13,0.07,0.11,0.05,0.12,0.03,0.13,0.02,0.13,0.02,0.18,,3410,0.16,0.29,-0.12,0.29,-0.16,0.22,,3410,0.03,0.25,0.22,0.19,-0.29,0.29
3430,0.02,0.13,0.18,0.13,0.07,0.11,0.05,0.12,0.03,0.13,0.02,0.13,0.02,0.18,,3430,0.14,0.29,-0.11,0.29,-0.15,0.22,,3430,0.03,0.25,0.23,0.19,-0.29,0.29
3450,0.03,0.13,0.18,0.13,0.07,0.12,0.06,0.12,0.04,0.13,0.03,0.13,0.03,0.18,,3450,0.13,0.29,-0.10,0.29,-0.14,0.23,,3450,0.04,0.25,0.23,0.19,-0.29,0.29
3470,0.03,0.13,0.19,0.13,0.08,0.12,0.06,0.12,0.04,0.13,0.03,0.13,0.04,0.18,,3470,0.13,0.29,-0.09,0.29,-0.13,0.23,,3470,0.06,0.24,0.24,0.19,-0.29,0.28
3490,0.04,0.13,0.20,0.13,0.09,0.11,0.07,0.12,0.05,0.13,0.04,0.13,0.04,0.18,,3490,0.13,0.29,-0.08,0.29,-0.12,0.23,,3490,0.07,0.24,0.24,0.19,-0.28,0.28
3510,0.05,0.12,0.21,0.13,0.09,0.11,0.08,0.11,0.06,0.13,0.05,0.12,0.05,0.18,,3510,0.13,0.29,-0.07,0.28,-0.11,0.23,,3510,0.09,0.24,0.25,0.19,-0.27,0.28
3530,0.06,0.13,0.22,0.13,0.10,0.11,0.09,0.11,0.07,0.12,0.06,0.13,0.06,0.18,,3530,0.13,0.29,-0.05,0.28,-0.10,0.23,,3530,0.11,0.25,0.26,0.18,-0.27,0.28
3550,0.07,0.12,0.23,0.13,0.11,0.11,0.09,0.11,0.08,0.12,0.07,0.12,0.07,0.18,,3550,0.13,0.29,-0.04,0.28,-0.08,0.23,,3550,0.12,0.24,0.27,0.18,-0.26,0.28
3570,0.08,0.12,0.24,0.13,0.12,0.11,0.10,0.11,0.09,0.13,0.09,0.12,0.09,0.18,,3570,0.14,0.29,-0.03,0.28,-0.06,0.23,,3570,0.14,0.24,0.28,0.18,-0.25,0.28
3590,0.09,0.13,0.25,0.13,0.13,0.12,0.11,0.12,0.10,0.13,0.10,0.13,0.10,0.18,,3590,0.15,0.29,-0.02,0.28,-0.04,0.24,,3590,0.15,0.23,0.29,0.18,-0.24,0.28
3610,0.10,0.13,0.26,0.13,0.14,0.12,0.12,0.12,0.11,0.13,0.11,0.13,0.11,0.18,,3610,0.17,0.29,-0.02,0.28,-0.01,0.24,,3610,0.15,0.23,0.30,0.18,-0.24,0.28
3630,0.11,0.13,0.26,0.13,0.14,0.11,0.13,0.12,0.12,0.13,0.11,0.13,0.11,0.18,,3630,0.18,0.29,-0.02,0.28,0.01,0.23,,3630,0.15,0.23,0.31,0.18,-0.23,0.28
3650,0.12,0.13,0.27,0.13,0.15,0.11,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.18,,3650,0.20,0.29,-0.01,0.28,0.01,0.23,,3650,0.16,0.23,0.32,0.18,-0.23,0.28
3670,0.13,0.13,0.27,0.13,0.16,0.11,0.14,0.12,0.14,0.13,0.13,0.13,0.13,0.18,,3670,0.22,0.29,-0.01,0.28,0.03,0.23,,3670,0.17,0.23,0.33,0.18,-0.23,0.28
3690,0.14,0.13,0.28,0.13,0.16,0.11,0.15,0.12,0.15,0.13,0.14,0.13,0.14,0.18,,3690,0.24,0.28,-0.01,0.28,0.01,0.23,,3690,0.17,0.23,0.34,0.18,-0.23,0.28
3710,0.14,0.13,0.28,0.13,0.17,0.12,0.15,0.12,0.15,0.13,0.14,0.13,0.14,0.18,,3710,0.27,0.28,0.00,0.28,0.00,0.24,,3710,0.18,0.23,0.35,0.18,-0.24,0.28
3730,0.15,0.13,0.28,0.13,0.17,0.11,0.16,0.12,0.16,0.13,0.15,0.13,0.15,0.18,,3730,0.29,0.28,-0.01,0.29,-0.01,0.23,,3730,0.18,0.23,0.36,0.18,-0.24,0.28
3750,0.15,0.13,0.28,0.13,0.18,0.12,0.16,0.12,0.16,0.13,0.16,0.13,0.16,0.18,,3750,0.32,0.28,-0.01,0.29,-0.04,0.23,,3750,0.19,0.23,0.37,0.18,-0.24,0.28
3770,0.16,0.13,0.28,0.14,0.18,0.12,0.16,0.12,0.16,0.13,0.16,0.13,0.16,0.18,,3770,0.34,0.28,-0.01,0.29,-0.06,0.23,,3770,0.19,0.23,0.38,0.18,-0.25,0.28
3790,0.16,0.13,0.28,0.14,0.18,0.12,0.16,0.12,0.17,0.13,0.16,0.13,0.16,0.18,,3790,0.36,0.28,-0.01,0.29,-0.09,0.23,,3790,0.19,0.23,0.38,0.18,-0.24,0.28
3810,0.16,0.13,0.28,0.14,0.18,0.11,0.16,0.12,0.17,0.13,0.17,0.13,0.17,0.18,,3810,0.37,0.28,-0.01,0.28,-0.11,0.23,,3810,0.18,0.23,0.38,0.18,-0.24,0.28
3830,0.16,0.12,0.28,0.13,0.18,0.11,0.17,0.12,0.18,0.13,0.17,0.12,0.17,0.18,,3830,0.38,0.28,-0.01,0.28,-0.12,0.23,,3830,0.18,0.23,0.38,0.18,-0.23,0.28
3850,0.16,0.12,0.28,0.13,0.18,0.11,0.17,0.11,0.18,0.12,0.17,0.12,0.17,0.17,,3850,0.38,0.27,0.00,0.28,-0.14,0.22,,3850,0.18,0.23,0.38,0.18,-0.23,0.27
3870,0.17,0.12,0.28,0.13,0.18,0.11,0.17,0.12,0.18,0.13,0.17,0.12,0.17,0.18,,3870,0.37,0.28,0.00,0.29,-0.16,0.21,,3870,0.18,0.23,0.39,0.17,-0.23,0.27
3890,0.17,0.12,0.28,0.13,0.18,0.11,0.17,0.12,0.18,0.13,0.17,0.12,0.17,0.18,,3890,0.38,0.27,0.00,0.29,-0.16,0.21,,3890,0.17,0.24,0.39,0.17,-0.22,0.27
