Global Stacks,,,,,,,,,,,,,,,,Regional Stacks,,,,,,,,Other Stacks,,,,,,
,Standard5x5Grid,,Standard10-lat,,Standard,,RegEM,,RegEM5x5grid,,Jack30,,Jack50,,,,Standard5x5Grid,,Standard5x5Grid,,Standard5x5Grid,,,,Standard5x5Grid Mg/Ca,,Standard5x5Grid Uk'37,,Standard5x5Grid Other,
Age (yrs BP),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),,Age (yrs BP),90-30N (°C),1σ uncertainty (°C),30S-30N (°C),1σ uncertainty (°C),90-30S (°C),1σ uncertainty (°C),,Age (yrs BP),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C)
-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN
-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN
-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN
390,-0.16,0.20,-0.26,0.18,-0.19,0.17,-0.21,0.31,-0.22,0.32,-0.16,0.20,-0.16,0.28,,390,-0.17,0.43,-0.22,0.40,-0.19,0.42,,390,0.01,0.35,-0.20,0.33,-0.34,0.36
410,-0.14,0.19,-0.24,0.17,-0.16,0.16,-0.19,0.30,-0.21,0.31,-0.15,0.19,-0.15,0.27,,410,-0.15,0.45,-0.20,0.38,-0.08,0.39,,410,-0.03,0.34,-0.19,0.31,-0.28,0.35
430,-0.16,0.19,-0.26,0.17,-0.19,0.16,-0.20,0.29,-0.22,0.30,-0.16,0.19,-0.16,0.27,,430,-0.17,0.44,-0.19,0.37,-0.22,0.41,,430,-0.07,0.34,-0.18,0.31,-0.27,0.35
450,-0.18,0.19,-0.28,0.17,-0.21,0.16,-0.21,0.28,-0.23,0.29,-0.18,0.19,-0.18,0.27,,450,-0.24,0.44,-0.19,0.37,-0.17,0.38,,450,-0.11,0.34,-0.18,0.31,-0.28,0.34
470,-0.18,0.18,-0.28,0.17,-0.23,0.16,-0.21,0.27,-0.22,0.28,-0.19,0.18,-0.19,0.26,,470,-0.23,0.42,-0.19,0.37,-0.25,0.36,,470,-0.14,0.34,-0.17,0.30,-0.26,0.33
490,-0.18,0.18,-0.28,0.16,-0.23,0.15,-0.20,0.26,-0.21,0.27,-0.18,0.18,-0.19,0.25,,490,-0.21,0.42,-0.17,0.36,-0.36,0.41,,490,-0.16,0.35,-0.15,0.29,-0.25,0.33
510,-0.18,0.17,-0.27,0.16,-0.24,0.15,-0.20,0.25,-0.19,0.26,-0.18,0.17,-0.18,0.25,,510,-0.19,0.41,-0.15,0.35,-0.49,0.41,,510,-0.17,0.34,-0.15,0.29,-0.24,0.33
530,-0.17,0.18,-0.26,0.16,-0.23,0.16,-0.18,0.25,-0.18,0.26,-0.17,0.18,-0.18,0.25,,530,-0.21,0.40,-0.14,0.36,-0.34,0.42,,530,-0.17,0.34,-0.17,0.28,-0.20,0.33
550,-0.17,0.17,-0.23,0.16,-0.20,0.15,-0.15,0.24,-0.16,0.24,-0.17,0.17,-0.17,0.25,,550,-0.20,0.39,-0.13,0.36,-0.21,0.38,,550,-0.16,0.33,-0.19,0.27,-0.16,0.32
570,-0.16,0.17,-0.22,0.16,-0.19,0.15,-0.13,0.23,-0.15,0.24,-0.16,0.17,-0.17,0.24,,570,-0.20,0.38,-0.12,0.35,-0.20,0.38,,570,-0.13,0.33,-0.21,0.27,-0.15,0.31
590,-0.16,0.17,-0.22,0.16,-0.19,0.15,-0.13,0.22,-0.14,0.23,-0.16,0.17,-0.17,0.24,,590,-0.22,0.36,-0.11,0.35,-0.16,0.39,,590,-0.10,0.32,-0.22,0.26,-0.16,0.31
610,-0.16,0.16,-0.21,0.16,-0.18,0.15,-0.12,0.22,-0.13,0.23,-0.16,0.16,-0.16,0.23,,610,-0.23,0.35,-0.11,0.35,-0.11,0.40,,610,-0.08,0.31,-0.23,0.26,-0.14,0.30
